발생일,발생시간,주야,요일,발생지_시도,발생지_시군구,기상상태,노면상태_대분류,노면상태,사고내용,사망자수,중상자수,경상자수,부상신고자수,도로종류,도로형태_대분류,도로형태,교차로형태_대분류,교차로형태,도로선형_대분류,도로선형,경도,위도
20150101,05시,야,목,서울,영등포구,맑음,포장,건조,사망,1,0,0,0,특별광역시도,단일로,지하차도(도로)내,교차로아님,교차로아님,직선,오르막,126.928799,37.51442589
20150101,05시,야,목,울산,남구,맑음,포장,건조,사망,1,0,0,0,특별광역시도,교차로,교차로부근,교차로,교차로 - 사지,직선,평지,129.2561467,35.53875501
20150101,14시,주,목,전북,군산시,맑음,포장,건조,사망,1,0,0,0,기타,기타/불명,기타/불명,교차로아님,교차로아님,직선,오르막,126.7756585,35.98631414
20150101,21시,야,목,광주,동구,맑음,포장,건조,사망,1,0,0,0,특별광역시도,단일로,횡단보도상,교차로아님,교차로아님,직선,평지,126.9313967,35.15696445
20150102,06시,주,금,부산,영도구,맑음,포장,건조,사망,1,0,0,0,특별광역시도,단일로,기타단일로,교차로아님,교차로아님,직선,오르막,129.0656593,35.09256151
20150102,06시,주,금,울산,남구,맑음,포장,건조,사망,1,0,0,0,특별광역시도,교차로,교차로내,교차로,교차로 - 삼지,직선,평지,129.3534236,35.46849521
20150102,11시,주,금,경북,칠곡군,맑음,포장,건조,사망,1,1,1,1,일반국도,교차로,교차로내,교차로,교차로 - 삼지,직선,평지,128.3879752,36.00603163
20150102,17시,주,금,경기,수원시,맑음,포장,건조,사망,1,0,0,0,시도,교차로,교차로내,교차로,교차로 - 사지,직선,평지,126.9914549,37.29850929
20150102,17시,주,금,경기,평택시,맑음,포장,건조,사망,1,0,6,0,일반국도,단일로,기타단일로,교차로아님,교차로아님,직선,평지,126.9160884,36.93736222
20150102,20시,야,금,경기,고양시,맑음,포장,건조,사망,1,0,0,0,지방도,단일로,기타단일로,교차로아님,교차로아님,직선,평지,126.850374,37.6483652
20150102,21시,야,금,경기,용인시,맑음,포장,건조,사망,1,0,0,0,일반국도,단일로,기타단일로,교차로아님,교차로아님,직선,평지,127.283854,37.23295323
20150102,21시,야,금,충북,청주시,맑음,포장,건조,사망,1,0,0,0,시도,단일로,기타단일로,교차로아님,교차로아님,직선,평지,127.5283746,36.56416583
20150103,00시,야,토,서울,서대문구,맑음,포장,건조,사망,2,1,0,0,특별광역시도,단일로,기타단일로,교차로아님,교차로아님,커브ㆍ곡각 ,내리막,126.9630803,37.55992824
20150103,04시,야,토,강원,강릉시,맑음,포장,건조,사망,1,3,1,0,시도,교차로,교차로내,교차로,교차로 - 사지,직선,평지,128.8952722,37.75419123
20150103,05시,야,토,충북,증평군,맑음,포장,건조,사망,1,0,0,0,지방도,단일로,기타단일로,교차로아님,교차로아님,직선,평지,127.563032,36.78628022
20150103,06시,주,토,인천,부평구,맑음,포장,건조,사망,2,0,0,0,특별광역시도,단일로,횡단보도상,교차로아님,교차로아님,직선,평지,126.694481,37.47103058
20150103,07시,주,토,경남,남해군,맑음,포장,건조,사망,1,1,1,0,일반국도,단일로,기타단일로,교차로아님,교차로아님,직선,평지,127.8716609,34.94119617
20150103,07시,주,토,대구,북구,맑음,포장,건조,사망,1,0,0,0,특별광역시도,교차로,교차로내,교차로,교차로 - 오지이상,직선,평지,128.5759621,35.88770543
20150103,08시,주,토,경남,진주시,맑음,포장,건조,사망,1,0,0,0,시도,단일로,기타단일로,교차로아님,교차로아님,직선,평지,128.1544414,35.17893841
20150103,11시,주,토,전남,광양시,맑음,포장,건조,사망,1,0,0,0,시도,단일로,기타단일로,교차로아님,교차로아님,직선,내리막,127.6643903,35.05963748
20150103,12시,주,토,전남,무안군,맑음,포장,젖음/습기,사망,1,0,0,0,일반국도,단일로,기타단일로,교차로아님,교차로아님,커브ㆍ곡각 ,오르막,126.4223459,34.8733697
20150103,15시,주,토,경기,성남시,맑음,포장,건조,사망,1,0,0,0,시도,기타/불명,기타/불명,교차로아님,교차로아님,직선,내리막,127.1596447,37.43783525
20150103,16시,주,토,경기,성남시,맑음,포장,기타,사망,1,0,1,0,시도,단일로,기타단일로,교차로아님,교차로아님,직선,내리막,127.1493668,37.36804763
